Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0603_1608Metric,124.25,-97.275,-90.0,top
C10,330p,C_0603_1608Metric,137.125,-101.075,180.0,top
C11,10u,C_1206_3216Metric,138.575,-95.925,180.0,top
C12,10u,C_1206_3216Metric,142.25,-93.15,-90.0,top
C13,4.7u,C_0603_1608Metric,140.5,-85.225,90.0,top
C14,0.1uF,C_0603_1608Metric,178.975,-102.8,0.0,top
C15,0.1uF,C_0603_1608Metric,179.225,-95.5,180.0,top
C2,56u,CP_Radial_D8.0mm_P2.50mm,124.7,-103.55,-90.0,top
C3,0.1uF,C_0603_1608Metric,173.5,-83.05,90.0,top
C4,1uF,C_0603_1608Metric,155.85,-87.525,90.0,top
C5,10nF,C_0603_1608Metric,154.25,-87.525,90.0,top
C6,0.1uF,C_0603_1608Metric,162.05,-81.8,90.0,top
C7,1u,C_0603_1608Metric,126.875,-98.225,180.0,top
C8,10n,C_0603_1608Metric,137.05,-98.725,-90.0,top
C9,100n,C_0603_1608Metric,129.75,-93.35,90.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,177.35,-91.85,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,177.3,-99.15,180.0,top
D3,SM15T33CA,D_SMC,133.35,-84.475,0.0,top
D4,D_Schottky,D_SMA,126.6,-89.0,90.0,top
D5,D_Schottky,D_SMA,132.4,-91.375,90.0,top
D6,D_Schottky,D_SMA,161.0,-109.4,-90.0,top
D7,LED,LED_0805_2012Metric,146.4,-92.325,-90.0,top
D8,LED,LED_0805_2012Metric,179.1,-83.0,-90.0,top
D9,LED,LED_0805_2012Metric,161.3625,-104.1,0.0,top
J1,POWER TERMINAL,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",138.4,-75.3,180.0,top
J3,USB_B_Micro,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,165.545,-118.015,0.0,top
J5,GPIO TERTMINAL,"TerminalBlock_Phoenix_PT-1,5-8-3.5-H_1x08_P3.50mm_Horizontal",141.65,-113.15,0.0,top
L1,2.2u,L_1210_3225Metric,126.8,-95.125,-90.0,top
L2,10u,L_Sunlord_MWSA0503S,137.7,-91.675,0.0,top
R1,10k,R_0603_1608Metric,175.15,-83.05,-90.0,top
R2,1,R_0603_1608Metric,124.2,-94.125,-90.0,top
R3,10k,R_0603_1608Metric,130.6,-101.175,0.0,top
R4,12k,R_0603_1608Metric,134.0,-101.125,180.0,top
R5,68k,R_0603_1608Metric,135.775,-102.625,0.0,top
R6,120,R_0603_1608Metric,152.12,-107.825,0.0,top
R7,220,R_0603_1608Metric,144.5,-92.275,-90.0,top
R8,120,R_0603_1608Metric,177.1,-83.0,90.0,top
R9,120,R_0603_1608Metric,161.3,-102.2,0.0,top
SW1,RESET1,SW_SPST_TL3342,168.45,-81.95,180.0,top
SW2,BOOT1,SW_SPST_TL3342,156.825,-81.9,180.0,top
SW3,INPUT1,SW_SPST_TL3342,176.4,-106.7,180.0,top
U1,ESP32-S3-MINI-1,ESP32-S3-MINI-1U,164.7,-93.1,0.0,top
U2,USBLC6-2SC6,SOT-23-6,165.15,-109.3375,90.0,top
U3,LMR14020,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,132.425,-97.58,0.0,top
U4,AMS1117-3.3,SOT-223-3_TabPin2,145.948,-86.36,0.0,top
U5,TJA1051T-3,SOIC-8_3.9x4.9mm_P1.27mm,152.145,-102.875,-90.0,top
